Date,NE,MidAtl,ENCentral,WNCentral,SAtl,ESCentral,WSCentral,Mtn,Pac,WtdILI
10/9/2005,0.97,1.025,1.232,1.286,1.082,1.457,1.1,0.981,0.971,1.182
10/16/2005,1.136,1.06,1.228,1.286,1.146,1.644,1.123,0.976,0.917,1.22
10/23/2005,1.135,1.172,1.278,1.536,1.274,1.556,1.236,1.102,0.895,1.31
10/30/2005,1.52,1.489,1.576,1.794,1.59,2.252,1.612,1.321,1.082,1.343
11/6/2005,1.365,1.394,1.53,1.825,1.62,2.059,1.471,1.453,1.118,1.586
11/13/2005,1.39,1.477,1.506,1.9,1.683,1.813,1.464,1.388,1.204,1.47
11/20/2005,1.212,1.231,1.295,1.495,1.347,1.794,1.303,1.371,1.137,1.611
11/27/2005,1.477,1.546,1.557,1.855,1.678,2.159,1.739,1.628,1.443,1.827
12/4/2005,1.285,1.43,1.482,1.635,1.577,1.903,1.53,1.701,1.516,1.776
12/11/2005,1.354,1.45,1.46,1.794,1.583,1.894,1.831,2.364,2.094,1.941
12/18/2005,1.502,1.622,1.638,1.988,1.947,2.22,2.577,3.89,2.66,2.34
12/25/2005,1.86,1.915,1.955,2.38,2.343,3.027,3.219,4.862,2.595,3.086
1/1/2006,2.114,2.174,2.065,2.557,2.275,2.498,2.644,3.352,2.181,3.26
1/8/2006,1.815,1.932,1.822,2.046,1.969,1.805,2.189,2.132,1.717,2.613
1/15/2006,1.541,1.695,1.581,2.008,1.718,1.662,2.156,1.694,1.351,2.247
1/22/2006,1.632,1.758,1.711,2.217,1.866,2.194,2.268,1.826,1.384,2.352
1/29/2006,1.784,1.856,1.901,2.387,1.942,2.23,2.433,1.867,1.406,2.415
2/5/2006,1.984,2.042,2.05,2.916,2.13,2.657,2.345,1.943,1.473,2.521
2/12/2006,2.102,2.066,2.131,2.879,2.472,3.318,2.506,1.852,1.506,2.648
2/19/2006,2.144,2.178,2.37,2.958,2.714,3.48,2.311,1.849,1.569,3.127
2/26/2006,2.31,2.205,2.515,3.115,2.605,3.859,2.219,1.856,1.573,3.128
3/5/2006,2.303,2.182,2.463,3.065,2.515,2.866,1.814,1.77,1.497,3.142
3/12/2006,2.147,1.98,2.151,2.623,2.044,2.315,1.443,1.641,1.554,3.099
3/19/2006,2.208,1.994,2.068,2.449,1.77,1.952,1.384,1.678,1.566,2.655
3/26/2006,2.28,1.812,1.914,1.939,1.752,1.82,1.439,1.403,1.453,2.432
4/2/2006,1.756,1.638,1.617,1.817,1.325,1.4,1.23,1.275,1.35,2.319
4/9/2006,1.47,1.36,1.356,1.269,1.113,1.208,1.036,1.056,1.105,1.857
4/16/2006,1.124,1.124,1.141,1.095,1.012,0.987,0.937,0.912,1.018,1.447
4/23/2006,1.095,1.024,1.065,1.125,0.974,1.024,0.903,0.914,0.943,1.297
4/30/2006,0.949,0.987,0.994,1.062,0.928,1.006,0.865,0.903,0.894,1.131
5/7/2006,0.89,0.948,0.954,0.949,0.932,1.033,0.846,0.846,0.82,1.059
5/14/2006,0.868,0.897,0.906,0.985,0.874,1.144,0.802,0.77,0.77,1.034
5/21/2006,0.964,0.913,0.896,0.842,0.852,0.932,0.738,0.685,0.736,1.013
5/28/2006,0.77,0.78,0.792,0.727,0.748,0.893,0.633,0.643,0.667,0.915
6/4/2006,0.743,0.719,0.667,0.626,0.707,0.769,0.624,0.564,0.617,0.923
6/11/2006,0.684,0.702,0.604,0.512,0.648,0.721,0.563,0.525,0.561,0.85
6/18/2006,0.6,0.637,0.54,0.552,0.616,0.6,0.511,0.521,0.54,0.781
6/25/2006,0.495,0.558,0.526,0.526,0.556,0.642,0.499,0.474,0.502,0.715
7/2/2006,0.525,0.547,0.468,0.505,0.542,0.653,0.499,0.452,0.499,0.715
7/9/2006,0.48,0.524,0.49,0.494,0.542,0.587,0.505,0.43,0.452,0.77
7/16/2006,0.434,0.495,0.452,0.464,0.506,0.554,0.474,0.38,0.414,0.76
7/23/2006,0.428,0.506,0.454,0.524,0.526,0.595,0.494,0.352,0.377,0.637
7/30/2006,0.444,0.483,0.47,0.497,0.468,0.566,0.456,0.391,0.388,0.617
8/6/2006,0.432,0.511,0.488,0.491,0.501,0.558,0.495,0.404,0.385,0.611
8/13/2006,0.465,0.521,0.491,0.505,0.549,0.612,0.467,0.439,0.422,0.679
8/20/2006,0.437,0.49,0.522,0.515,0.616,0.829,0.55,0.459,0.409,0.614
8/27/2006,0.498,0.49,0.589,0.613,0.598,0.974,0.733,0.568,0.442,0.606
9/3/2006,0.57,0.598,0.726,0.756,0.759,1.039,0.826,0.649,0.453,0.633
9/10/2006,0.795,0.761,0.913,0.892,0.839,1.279,0.96,0.744,0.541,0.8
9/17/2006,0.911,1.037,1.184,1.192,1.012,1.394,1.017,0.884,0.652,0.757
9/24/2006,1.096,1.101,1.272,1.218,1.062,1.385,1.068,0.937,0.709,0.808
10/1/2006,1.121,1.108,1.258,1.245,1.092,1.433,1.115,0.964,0.759,0.803
